pair_id,lexical_family,template_family_id,frame_index,arithmetic_operation,selector_active_entry,arithmetic_answer_and_wrong_operation_foil_correct,selector_answer_and_competing_entry_foil_correct,operation_word_and_direction_unambiguous,selector_tag_entry_binding_unambiguous,matched_label_case_key_ledger_paths_valid,identical_context_and_prompt_contract,question_target_only_change,within_condition_exposure_contract,arithmetic_transformation_required,selector_matched_retrieval_required,numeric_collision_and_shortcut_absence,one_numeral_output_instruction_clear,frozen_oa_row_and_metadata_consistent,automatic_pair_checks_all_pass,natural_grammar_and_semantic_clarity,reviewer_id,review_status,comments,satisfies_independent_human_gate
calv3_object_count_01_f06,object_count,v3_obj_scarf_registry,6,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_01_f07,object_count,v3_obj_scarf_registry,7,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_01_f08,object_count,v3_obj_scarf_registry,8,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_02_f01,object_count,v3_obj_magnet_portfolio,1,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_02_f02,object_count,v3_obj_magnet_portfolio,2,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_02_f03,object_count,v3_obj_magnet_portfolio,3,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_02_f04,object_count,v3_obj_magnet_portfolio,4,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_02_f05,object_count,v3_obj_magnet_portfolio,5,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_02_f06,object_count,v3_obj_magnet_portfolio,6,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_02_f07,object_count,v3_obj_magnet_portfolio,7,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_02_f08,object_count,v3_obj_magnet_portfolio,8,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_03_f01,object_count,v3_obj_postcard_journal,1,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_03_f02,object_count,v3_obj_postcard_journal,2,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_03_f03,object_count,v3_obj_postcard_journal,3,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_03_f04,object_count,v3_obj_postcard_journal,4,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_03_f05,object_count,v3_obj_postcard_journal,5,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_03_f06,object_count,v3_obj_postcard_journal,6,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_03_f07,object_count,v3_obj_postcard_journal,7,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_03_f08,object_count,v3_obj_postcard_journal,8,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_04_f01,object_count,v3_obj_button_compendium,1,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_04_f02,object_count,v3_obj_button_compendium,2,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_04_f03,object_count,v3_obj_button_compendium,3,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_04_f04,object_count,v3_obj_button_compendium,4,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_04_f05,object_count,v3_obj_button_compendium,5,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_04_f06,object_count,v3_obj_button_compendium,6,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_04_f07,object_count,v3_obj_button_compendium,7,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_04_f08,object_count,v3_obj_button_compendium,8,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_05_f01,object_count,v3_obj_gear_inventory,1,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_05_f02,object_count,v3_obj_gear_inventory,2,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_05_f03,object_count,v3_obj_gear_inventory,3,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_05_f04,object_count,v3_obj_gear_inventory,4,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_05_f05,object_count,v3_obj_gear_inventory,5,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_05_f06,object_count,v3_obj_gear_inventory,6,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_05_f07,object_count,v3_obj_gear_inventory,7,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_05_f08,object_count,v3_obj_gear_inventory,8,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_06_f01,object_count,v3_obj_mug_directory,1,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_06_f02,object_count,v3_obj_mug_directory,2,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_06_f03,object_count,v3_obj_mug_directory,3,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_06_f04,object_count,v3_obj_mug_directory,4,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_06_f05,object_count,v3_obj_mug_directory,5,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_06_f06,object_count,v3_obj_mug_directory,6,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_06_f07,object_count,v3_obj_mug_directory,7,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_06_f08,object_count,v3_obj_mug_directory,8,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_07_f01,object_count,v3_obj_flag_workbook,1,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_07_f02,object_count,v3_obj_flag_workbook,2,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_07_f03,object_count,v3_obj_flag_workbook,3,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_07_f04,object_count,v3_obj_flag_workbook,4,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_07_f05,object_count,v3_obj_flag_workbook,5,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_07_f06,object_count,v3_obj_flag_workbook,6,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_07_f07,object_count,v3_obj_flag_workbook,7,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_07_f08,object_count,v3_obj_flag_workbook,8,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_00_f01,points_balance,v3_pts_quiz_scorecard,1,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_00_f02,points_balance,v3_pts_quiz_scorecard,2,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_00_f03,points_balance,v3_pts_quiz_scorecard,3,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_00_f04,points_balance,v3_pts_quiz_scorecard,4,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_00_f05,points_balance,v3_pts_quiz_scorecard,5,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_00_f06,points_balance,v3_pts_quiz_scorecard,6,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_00_f07,points_balance,v3_pts_quiz_scorecard,7,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_00_f08,points_balance,v3_pts_quiz_scorecard,8,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_01_f01,points_balance,v3_pts_arcade_tally,1,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_01_f02,points_balance,v3_pts_arcade_tally,2,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_01_f03,points_balance,v3_pts_arcade_tally,3,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_01_f04,points_balance,v3_pts_arcade_tally,4,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_01_f05,points_balance,v3_pts_arcade_tally,5,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_01_f06,points_balance,v3_pts_arcade_tally,6,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_01_f07,points_balance,v3_pts_arcade_tally,7,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_01_f08,points_balance,v3_pts_arcade_tally,8,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_02_f01,points_balance,v3_pts_reward_sheet,1,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_02_f02,points_balance,v3_pts_reward_sheet,2,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_02_f03,points_balance,v3_pts_reward_sheet,3,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_02_f04,points_balance,v3_pts_reward_sheet,4,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_02_f05,points_balance,v3_pts_reward_sheet,5,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_02_f06,points_balance,v3_pts_reward_sheet,6,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_02_f07,points_balance,v3_pts_reward_sheet,7,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_02_f08,points_balance,v3_pts_reward_sheet,8,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_03_f01,points_balance,v3_pts_league_record,1,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_03_f02,points_balance,v3_pts_league_record,2,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_03_f03,points_balance,v3_pts_league_record,3,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_03_f04,points_balance,v3_pts_league_record,4,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_03_f05,points_balance,v3_pts_league_record,5,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_03_f06,points_balance,v3_pts_league_record,6,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_03_f07,points_balance,v3_pts_league_record,7,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_03_f08,points_balance,v3_pts_league_record,8,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_04_f01,points_balance,v3_pts_loyalty_folio,1,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_04_f02,points_balance,v3_pts_loyalty_folio,2,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_04_f03,points_balance,v3_pts_loyalty_folio,3,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_04_f04,points_balance,v3_pts_loyalty_folio,4,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_04_f05,points_balance,v3_pts_loyalty_folio,5,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_04_f06,points_balance,v3_pts_loyalty_folio,6,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_04_f07,points_balance,v3_pts_loyalty_folio,7,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_04_f08,points_balance,v3_pts_loyalty_folio,8,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_05_f01,points_balance,v3_pts_contest_docket,1,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_05_f02,points_balance,v3_pts_contest_docket,2,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_05_f03,points_balance,v3_pts_contest_docket,3,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_05_f04,points_balance,v3_pts_contest_docket,4,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_points_balance_05_f05,points_balance,v3_pts_contest_docket,5,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
