pair_id,lexical_family,template_family_id,fact_math_correct,identical_context_confirmed,single_feature_change_confirmed,natural_grammar,relevance_labels_correct,answer_exposure_equal,cross_fact_answer_copy_shortcut,reviewer_id,review_status,comments,satisfies_independent_human_gate
cal_decrease_02_03_01,decrease,dec_books_donated,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_03_00_00,decrease,dec_coins_spent,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_03_00_01,decrease,dec_coins_spent,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_03_01_00,decrease,dec_coins_spent,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_03_01_01,decrease,dec_coins_spent,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_03_02_00,decrease,dec_coins_spent,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_03_02_01,decrease,dec_coins_spent,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_03_03_00,decrease,dec_coins_spent,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_03_03_01,decrease,dec_coins_spent,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_04_00_00,decrease,dec_balloons_popped,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_04_00_01,decrease,dec_balloons_popped,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_04_01_00,decrease,dec_balloons_popped,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_04_01_01,decrease,dec_balloons_popped,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_04_02_00,decrease,dec_balloons_popped,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_04_02_01,decrease,dec_balloons_popped,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_04_03_00,decrease,dec_balloons_popped,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_04_03_01,decrease,dec_balloons_popped,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_05_00_00,decrease,dec_cards_discarded,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_05_00_01,decrease,dec_cards_discarded,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_05_01_00,decrease,dec_cards_discarded,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_05_01_01,decrease,dec_cards_discarded,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_05_02_00,decrease,dec_cards_discarded,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_05_02_01,decrease,dec_cards_discarded,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_05_03_00,decrease,dec_cards_discarded,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_05_03_01,decrease,dec_cards_discarded,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_00_00_00,increase,inc_tiles_received,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_00_00_01,increase,inc_tiles_received,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_00_01_00,increase,inc_tiles_received,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_00_01_01,increase,inc_tiles_received,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_00_02_00,increase,inc_tiles_received,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_00_02_01,increase,inc_tiles_received,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_00_03_00,increase,inc_tiles_received,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_00_03_01,increase,inc_tiles_received,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_01_00_00,increase,inc_stamps_added,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_01_00_01,increase,inc_stamps_added,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_01_01_00,increase,inc_stamps_added,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_01_01_01,increase,inc_stamps_added,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_01_02_00,increase,inc_stamps_added,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_01_02_01,increase,inc_stamps_added,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_01_03_00,increase,inc_stamps_added,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_01_03_01,increase,inc_stamps_added,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_02_00_00,increase,inc_apples_bought,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_02_00_01,increase,inc_apples_bought,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_02_01_00,increase,inc_apples_bought,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_02_01_01,increase,inc_apples_bought,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_02_02_00,increase,inc_apples_bought,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_02_02_01,increase,inc_apples_bought,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_02_03_00,increase,inc_apples_bought,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_02_03_01,increase,inc_apples_bought,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_03_00_00,increase,inc_books_acquired,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_03_00_01,increase,inc_books_acquired,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_03_01_00,increase,inc_books_acquired,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_03_01_01,increase,inc_books_acquired,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_03_02_00,increase,inc_books_acquired,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_03_02_01,increase,inc_books_acquired,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_03_03_00,increase,inc_books_acquired,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_03_03_01,increase,inc_books_acquired,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_04_00_00,increase,inc_points_earned,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_04_00_01,increase,inc_points_earned,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_04_01_00,increase,inc_points_earned,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_04_01_01,increase,inc_points_earned,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_04_02_00,increase,inc_points_earned,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_04_02_01,increase,inc_points_earned,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_04_03_00,increase,inc_points_earned,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_04_03_01,increase,inc_points_earned,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_05_00_00,increase,inc_flowers_planted,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_05_00_01,increase,inc_flowers_planted,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_05_01_00,increase,inc_flowers_planted,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_05_01_01,increase,inc_flowers_planted,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_05_02_00,increase,inc_flowers_planted,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_05_02_01,increase,inc_flowers_planted,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_05_03_00,increase,inc_flowers_planted,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_increase_05_03_01,increase,inc_flowers_planted,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_temperature_00_00_00,temperature,temp_tank_warmed,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_temperature_00_00_01,temperature,temp_tank_warmed,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_temperature_00_01_00,temperature,temp_tank_warmed,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_temperature_00_01_01,temperature,temp_tank_warmed,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_temperature_00_02_00,temperature,temp_tank_warmed,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_temperature_00_02_01,temperature,temp_tank_warmed,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
