pair_id,lexical_family,template_family_id,answer_orientation,label_record_role_orientation,record_block_order,context,relevant_question,irrelevant_question,operation,start,delta,relevant_answer,irrelevant_answer,direct_attribute,transformed_attribute,direct_record_key,transformed_record_key,output_instruction,arithmetic_answer_correct,direct_answer_correct,label_key_record_binding_clear,relevant_transformation_required,irrelevant_keyed_retrieval_valid,answer_copy_shortcut_absent,question_target_only_change,natural_grammar_and_unambiguous_direction,counterbalance_counterpart_equivalent,output_instruction_clear,reviewer_id,review_status,comments
calv211_decrease_01_ans0_role1_order0,decrease,v21_dec_token_ledger,A_to_relevant,1,direct_block_first,"For Caleb, the blue token inventory points to ledger Juniper. Ledger Juniper lists 58 tokens currently. For Caleb, the red token inventory points to ledger Reed. Ledger Reed lists 41 tokens before 7 were used.",How many red tokens are currently in Caleb's inventory?,How many blue tokens are currently in Caleb's inventory?,subtract,41,7,34,58,blue,red,Juniper,Reed,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_01_ans0_role1_order1,decrease,v21_dec_token_ledger,A_to_relevant,1,transformed_block_first,"For Caleb, the red token inventory points to ledger Reed. Ledger Reed lists 41 tokens before 7 were used. For Caleb, the blue token inventory points to ledger Juniper. Ledger Juniper lists 58 tokens currently.",How many red tokens are currently in Caleb's inventory?,How many blue tokens are currently in Caleb's inventory?,subtract,41,7,34,58,blue,red,Juniper,Reed,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_01_ans1_role0_order0,decrease,v21_dec_token_ledger,B_to_relevant,0,direct_block_first,"For Caleb, the red token inventory points to ledger Reed. Ledger Reed lists 34 tokens currently. For Caleb, the blue token inventory points to ledger Juniper. Ledger Juniper lists 65 tokens before 7 were used.",How many blue tokens are currently in Caleb's inventory?,How many red tokens are currently in Caleb's inventory?,subtract,65,7,58,34,red,blue,Reed,Juniper,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_01_ans1_role0_order1,decrease,v21_dec_token_ledger,B_to_relevant,0,transformed_block_first,"For Caleb, the blue token inventory points to ledger Juniper. Ledger Juniper lists 65 tokens before 7 were used. For Caleb, the red token inventory points to ledger Reed. Ledger Reed lists 34 tokens currently.",How many blue tokens are currently in Caleb's inventory?,How many red tokens are currently in Caleb's inventory?,subtract,65,7,58,34,red,blue,Reed,Juniper,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_01_ans1_role1_order0,decrease,v21_dec_token_ledger,B_to_relevant,1,direct_block_first,"For Caleb, the blue token inventory points to ledger Juniper. Ledger Juniper lists 34 tokens currently. For Caleb, the red token inventory points to ledger Reed. Ledger Reed lists 65 tokens before 7 were used.",How many red tokens are currently in Caleb's inventory?,How many blue tokens are currently in Caleb's inventory?,subtract,65,7,58,34,blue,red,Juniper,Reed,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_01_ans1_role1_order1,decrease,v21_dec_token_ledger,B_to_relevant,1,transformed_block_first,"For Caleb, the red token inventory points to ledger Reed. Ledger Reed lists 65 tokens before 7 were used. For Caleb, the blue token inventory points to ledger Juniper. Ledger Juniper lists 34 tokens currently.",How many red tokens are currently in Caleb's inventory?,How many blue tokens are currently in Caleb's inventory?,subtract,65,7,58,34,blue,red,Juniper,Reed,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_02_ans0_role0_order0,decrease,v21_dec_pencil_file,A_to_relevant,0,direct_block_first,The file for Daria's red pencils is named Nectar. File Nectar gives the present total as 58 pencils. The file for Daria's blue pencils is named Wren. File Wren starts from 60 pencils and notes that 9 were handed out.,What is the present number of blue pencils for Daria?,What is the present number of red pencils for Daria?,subtract,60,9,51,58,red,blue,Nectar,Wren,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_02_ans0_role0_order1,decrease,v21_dec_pencil_file,A_to_relevant,0,transformed_block_first,The file for Daria's blue pencils is named Wren. File Wren starts from 60 pencils and notes that 9 were handed out. The file for Daria's red pencils is named Nectar. File Nectar gives the present total as 58 pencils.,What is the present number of blue pencils for Daria?,What is the present number of red pencils for Daria?,subtract,60,9,51,58,red,blue,Nectar,Wren,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_02_ans0_role1_order0,decrease,v21_dec_pencil_file,A_to_relevant,1,direct_block_first,The file for Daria's blue pencils is named Wren. File Wren gives the present total as 58 pencils. The file for Daria's red pencils is named Nectar. File Nectar starts from 60 pencils and notes that 9 were handed out.,What is the present number of red pencils for Daria?,What is the present number of blue pencils for Daria?,subtract,60,9,51,58,blue,red,Wren,Nectar,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_02_ans0_role1_order1,decrease,v21_dec_pencil_file,A_to_relevant,1,transformed_block_first,The file for Daria's red pencils is named Nectar. File Nectar starts from 60 pencils and notes that 9 were handed out. The file for Daria's blue pencils is named Wren. File Wren gives the present total as 58 pencils.,What is the present number of red pencils for Daria?,What is the present number of blue pencils for Daria?,subtract,60,9,51,58,blue,red,Wren,Nectar,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_02_ans1_role0_order0,decrease,v21_dec_pencil_file,B_to_relevant,0,direct_block_first,The file for Daria's red pencils is named Nectar. File Nectar gives the present total as 51 pencils. The file for Daria's blue pencils is named Wren. File Wren starts from 67 pencils and notes that 9 were handed out.,What is the present number of blue pencils for Daria?,What is the present number of red pencils for Daria?,subtract,67,9,58,51,red,blue,Nectar,Wren,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_02_ans1_role0_order1,decrease,v21_dec_pencil_file,B_to_relevant,0,transformed_block_first,The file for Daria's blue pencils is named Wren. File Wren starts from 67 pencils and notes that 9 were handed out. The file for Daria's red pencils is named Nectar. File Nectar gives the present total as 51 pencils.,What is the present number of blue pencils for Daria?,What is the present number of red pencils for Daria?,subtract,67,9,58,51,red,blue,Nectar,Wren,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_02_ans1_role1_order0,decrease,v21_dec_pencil_file,B_to_relevant,1,direct_block_first,The file for Daria's blue pencils is named Wren. File Wren gives the present total as 51 pencils. The file for Daria's red pencils is named Nectar. File Nectar starts from 67 pencils and notes that 9 were handed out.,What is the present number of red pencils for Daria?,What is the present number of blue pencils for Daria?,subtract,67,9,58,51,blue,red,Wren,Nectar,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_02_ans1_role1_order1,decrease,v21_dec_pencil_file,B_to_relevant,1,transformed_block_first,The file for Daria's red pencils is named Nectar. File Nectar starts from 67 pencils and notes that 9 were handed out. The file for Daria's blue pencils is named Wren. File Wren gives the present total as 51 pencils.,What is the present number of red pencils for Daria?,What is the present number of blue pencils for Daria?,subtract,67,9,58,51,blue,red,Wren,Nectar,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_03_ans0_role0_order0,decrease,v21_dec_shell_register,A_to_relevant,0,direct_block_first,Jonah's register links the red shell category to entry Beryl. Entry Beryl shows a current quantity of 53 shells. Jonah's register links the blue shell category to entry Kappa. Entry Kappa shows 52 shells before 5 went missing.,How many blue shells does Jonah currently have?,How many red shells does Jonah currently have?,subtract,52,5,47,53,red,blue,Beryl,Kappa,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_03_ans0_role0_order1,decrease,v21_dec_shell_register,A_to_relevant,0,transformed_block_first,Jonah's register links the blue shell category to entry Kappa. Entry Kappa shows 52 shells before 5 went missing. Jonah's register links the red shell category to entry Beryl. Entry Beryl shows a current quantity of 53 shells.,How many blue shells does Jonah currently have?,How many red shells does Jonah currently have?,subtract,52,5,47,53,red,blue,Beryl,Kappa,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_03_ans0_role1_order0,decrease,v21_dec_shell_register,A_to_relevant,1,direct_block_first,Jonah's register links the blue shell category to entry Kappa. Entry Kappa shows a current quantity of 53 shells. Jonah's register links the red shell category to entry Beryl. Entry Beryl shows 52 shells before 5 went missing.,How many red shells does Jonah currently have?,How many blue shells does Jonah currently have?,subtract,52,5,47,53,blue,red,Kappa,Beryl,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_03_ans0_role1_order1,decrease,v21_dec_shell_register,A_to_relevant,1,transformed_block_first,Jonah's register links the red shell category to entry Beryl. Entry Beryl shows 52 shells before 5 went missing. Jonah's register links the blue shell category to entry Kappa. Entry Kappa shows a current quantity of 53 shells.,How many red shells does Jonah currently have?,How many blue shells does Jonah currently have?,subtract,52,5,47,53,blue,red,Kappa,Beryl,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_03_ans1_role0_order0,decrease,v21_dec_shell_register,B_to_relevant,0,direct_block_first,Jonah's register links the red shell category to entry Beryl. Entry Beryl shows a current quantity of 47 shells. Jonah's register links the blue shell category to entry Kappa. Entry Kappa shows 58 shells before 5 went missing.,How many blue shells does Jonah currently have?,How many red shells does Jonah currently have?,subtract,58,5,53,47,red,blue,Beryl,Kappa,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_03_ans1_role0_order1,decrease,v21_dec_shell_register,B_to_relevant,0,transformed_block_first,Jonah's register links the blue shell category to entry Kappa. Entry Kappa shows 58 shells before 5 went missing. Jonah's register links the red shell category to entry Beryl. Entry Beryl shows a current quantity of 47 shells.,How many blue shells does Jonah currently have?,How many red shells does Jonah currently have?,subtract,58,5,53,47,red,blue,Beryl,Kappa,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_03_ans1_role1_order0,decrease,v21_dec_shell_register,B_to_relevant,1,direct_block_first,Jonah's register links the blue shell category to entry Kappa. Entry Kappa shows a current quantity of 47 shells. Jonah's register links the red shell category to entry Beryl. Entry Beryl shows 58 shells before 5 went missing.,How many red shells does Jonah currently have?,How many blue shells does Jonah currently have?,subtract,58,5,53,47,blue,red,Kappa,Beryl,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_03_ans1_role1_order1,decrease,v21_dec_shell_register,B_to_relevant,1,transformed_block_first,Jonah's register links the red shell category to entry Beryl. Entry Beryl shows 58 shells before 5 went missing. Jonah's register links the blue shell category to entry Kappa. Entry Kappa shows a current quantity of 47 shells.,How many red shells does Jonah currently have?,How many blue shells does Jonah currently have?,subtract,58,5,53,47,blue,red,Kappa,Beryl,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_04_ans0_role0_order0,decrease,v21_dec_badge_index,A_to_relevant,0,direct_block_first,"In Kiara's index, green badges are assigned to card Cedar. Card Cedar states that 47 badges remain. In Kiara's index, black badges are assigned to card Coral. Card Coral states an earlier amount of 42 badges and notes that 4 badges were given away.",What number of black badges remains for Kiara?,What number of green badges remains for Kiara?,subtract,42,4,38,47,green,black,Cedar,Coral,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_04_ans0_role0_order1,decrease,v21_dec_badge_index,A_to_relevant,0,transformed_block_first,"In Kiara's index, black badges are assigned to card Coral. Card Coral states an earlier amount of 42 badges and notes that 4 badges were given away. In Kiara's index, green badges are assigned to card Cedar. Card Cedar states that 47 badges remain.",What number of black badges remains for Kiara?,What number of green badges remains for Kiara?,subtract,42,4,38,47,green,black,Cedar,Coral,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_04_ans0_role1_order0,decrease,v21_dec_badge_index,A_to_relevant,1,direct_block_first,"In Kiara's index, black badges are assigned to card Coral. Card Coral states that 47 badges remain. In Kiara's index, green badges are assigned to card Cedar. Card Cedar states an earlier amount of 42 badges and notes that 4 badges were given away.",What number of green badges remains for Kiara?,What number of black badges remains for Kiara?,subtract,42,4,38,47,black,green,Coral,Cedar,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_04_ans0_role1_order1,decrease,v21_dec_badge_index,A_to_relevant,1,transformed_block_first,"In Kiara's index, green badges are assigned to card Cedar. Card Cedar states an earlier amount of 42 badges and notes that 4 badges were given away. In Kiara's index, black badges are assigned to card Coral. Card Coral states that 47 badges remain.",What number of green badges remains for Kiara?,What number of black badges remains for Kiara?,subtract,42,4,38,47,black,green,Coral,Cedar,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_04_ans1_role0_order0,decrease,v21_dec_badge_index,B_to_relevant,0,direct_block_first,"In Kiara's index, green badges are assigned to card Cedar. Card Cedar states that 38 badges remain. In Kiara's index, black badges are assigned to card Coral. Card Coral states an earlier amount of 51 badges and notes that 4 badges were given away.",What number of black badges remains for Kiara?,What number of green badges remains for Kiara?,subtract,51,4,47,38,green,black,Cedar,Coral,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_04_ans1_role0_order1,decrease,v21_dec_badge_index,B_to_relevant,0,transformed_block_first,"In Kiara's index, black badges are assigned to card Coral. Card Coral states an earlier amount of 51 badges and notes that 4 badges were given away. In Kiara's index, green badges are assigned to card Cedar. Card Cedar states that 38 badges remain.",What number of black badges remains for Kiara?,What number of green badges remains for Kiara?,subtract,51,4,47,38,green,black,Cedar,Coral,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_04_ans1_role1_order0,decrease,v21_dec_badge_index,B_to_relevant,1,direct_block_first,"In Kiara's index, black badges are assigned to card Coral. Card Coral states that 38 badges remain. In Kiara's index, green badges are assigned to card Cedar. Card Cedar states an earlier amount of 51 badges and notes that 4 badges were given away.",What number of green badges remains for Kiara?,What number of black badges remains for Kiara?,subtract,51,4,47,38,black,green,Coral,Cedar,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_04_ans1_role1_order1,decrease,v21_dec_badge_index,B_to_relevant,1,transformed_block_first,"In Kiara's index, green badges are assigned to card Cedar. Card Cedar states an earlier amount of 51 badges and notes that 4 badges were given away. In Kiara's index, black badges are assigned to card Coral. Card Coral states that 38 badges remain.",What number of green badges remains for Kiara?,What number of black badges remains for Kiara?,subtract,51,4,47,38,black,green,Coral,Cedar,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_05_ans0_role0_order0,decrease,v21_dec_ticket_account,A_to_relevant,0,direct_block_first,The green ticket total for Mason is tracked in account Ember. Account Ember records a current balance of 57 tickets. The black ticket total for Mason is tracked in account Willow. Account Willow records 36 tickets before 4 were redeemed.,What is Mason's current black ticket balance?,What is Mason's current green ticket balance?,subtract,36,4,32,57,green,black,Ember,Willow,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_05_ans0_role0_order1,decrease,v21_dec_ticket_account,A_to_relevant,0,transformed_block_first,The black ticket total for Mason is tracked in account Willow. Account Willow records 36 tickets before 4 were redeemed. The green ticket total for Mason is tracked in account Ember. Account Ember records a current balance of 57 tickets.,What is Mason's current black ticket balance?,What is Mason's current green ticket balance?,subtract,36,4,32,57,green,black,Ember,Willow,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_05_ans0_role1_order0,decrease,v21_dec_ticket_account,A_to_relevant,1,direct_block_first,The black ticket total for Mason is tracked in account Willow. Account Willow records a current balance of 57 tickets. The green ticket total for Mason is tracked in account Ember. Account Ember records 36 tickets before 4 were redeemed.,What is Mason's current green ticket balance?,What is Mason's current black ticket balance?,subtract,36,4,32,57,black,green,Willow,Ember,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_05_ans0_role1_order1,decrease,v21_dec_ticket_account,A_to_relevant,1,transformed_block_first,The green ticket total for Mason is tracked in account Ember. Account Ember records 36 tickets before 4 were redeemed. The black ticket total for Mason is tracked in account Willow. Account Willow records a current balance of 57 tickets.,What is Mason's current green ticket balance?,What is Mason's current black ticket balance?,subtract,36,4,32,57,black,green,Willow,Ember,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_05_ans1_role0_order0,decrease,v21_dec_ticket_account,B_to_relevant,0,direct_block_first,The green ticket total for Mason is tracked in account Ember. Account Ember records a current balance of 32 tickets. The black ticket total for Mason is tracked in account Willow. Account Willow records 61 tickets before 4 were redeemed.,What is Mason's current black ticket balance?,What is Mason's current green ticket balance?,subtract,61,4,57,32,green,black,Ember,Willow,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_05_ans1_role0_order1,decrease,v21_dec_ticket_account,B_to_relevant,0,transformed_block_first,The black ticket total for Mason is tracked in account Willow. Account Willow records 61 tickets before 4 were redeemed. The green ticket total for Mason is tracked in account Ember. Account Ember records a current balance of 32 tickets.,What is Mason's current black ticket balance?,What is Mason's current green ticket balance?,subtract,61,4,57,32,green,black,Ember,Willow,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_05_ans1_role1_order0,decrease,v21_dec_ticket_account,B_to_relevant,1,direct_block_first,The black ticket total for Mason is tracked in account Willow. Account Willow records a current balance of 32 tickets. The green ticket total for Mason is tracked in account Ember. Account Ember records 61 tickets before 4 were redeemed.,What is Mason's current green ticket balance?,What is Mason's current black ticket balance?,subtract,61,4,57,32,black,green,Willow,Ember,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_05_ans1_role1_order1,decrease,v21_dec_ticket_account,B_to_relevant,1,transformed_block_first,The green ticket total for Mason is tracked in account Ember. Account Ember records 61 tickets before 4 were redeemed. The black ticket total for Mason is tracked in account Willow. Account Willow records a current balance of 32 tickets.,What is Mason's current green ticket balance?,What is Mason's current black ticket balance?,subtract,61,4,57,32,black,green,Willow,Ember,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_06_ans0_role0_order0,decrease,v21_dec_cube_folder,A_to_relevant,0,direct_block_first,Priya's green cube inventory is referenced by folder Velvet. Folder Velvet contains a current total of 49 cubes. Priya's black cube inventory is referenced by folder Denim. Folder Denim contains an initial total of 44 cubes and notes that 9 were taken.,How many black cubes are now in Priya's inventory?,How many green cubes are now in Priya's inventory?,subtract,44,9,35,49,green,black,Velvet,Denim,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_06_ans0_role0_order1,decrease,v21_dec_cube_folder,A_to_relevant,0,transformed_block_first,Priya's black cube inventory is referenced by folder Denim. Folder Denim contains an initial total of 44 cubes and notes that 9 were taken. Priya's green cube inventory is referenced by folder Velvet. Folder Velvet contains a current total of 49 cubes.,How many black cubes are now in Priya's inventory?,How many green cubes are now in Priya's inventory?,subtract,44,9,35,49,green,black,Velvet,Denim,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_06_ans0_role1_order0,decrease,v21_dec_cube_folder,A_to_relevant,1,direct_block_first,Priya's black cube inventory is referenced by folder Denim. Folder Denim contains a current total of 49 cubes. Priya's green cube inventory is referenced by folder Velvet. Folder Velvet contains an initial total of 44 cubes and notes that 9 were taken.,How many green cubes are now in Priya's inventory?,How many black cubes are now in Priya's inventory?,subtract,44,9,35,49,black,green,Denim,Velvet,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_06_ans0_role1_order1,decrease,v21_dec_cube_folder,A_to_relevant,1,transformed_block_first,Priya's green cube inventory is referenced by folder Velvet. Folder Velvet contains an initial total of 44 cubes and notes that 9 were taken. Priya's black cube inventory is referenced by folder Denim. Folder Denim contains a current total of 49 cubes.,How many green cubes are now in Priya's inventory?,How many black cubes are now in Priya's inventory?,subtract,44,9,35,49,black,green,Denim,Velvet,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_06_ans1_role0_order0,decrease,v21_dec_cube_folder,B_to_relevant,0,direct_block_first,Priya's green cube inventory is referenced by folder Velvet. Folder Velvet contains a current total of 35 cubes. Priya's black cube inventory is referenced by folder Denim. Folder Denim contains an initial total of 58 cubes and notes that 9 were taken.,How many black cubes are now in Priya's inventory?,How many green cubes are now in Priya's inventory?,subtract,58,9,49,35,green,black,Velvet,Denim,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_06_ans1_role0_order1,decrease,v21_dec_cube_folder,B_to_relevant,0,transformed_block_first,Priya's black cube inventory is referenced by folder Denim. Folder Denim contains an initial total of 58 cubes and notes that 9 were taken. Priya's green cube inventory is referenced by folder Velvet. Folder Velvet contains a current total of 35 cubes.,How many black cubes are now in Priya's inventory?,How many green cubes are now in Priya's inventory?,subtract,58,9,49,35,green,black,Velvet,Denim,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_06_ans1_role1_order0,decrease,v21_dec_cube_folder,B_to_relevant,1,direct_block_first,Priya's black cube inventory is referenced by folder Denim. Folder Denim contains a current total of 35 cubes. Priya's green cube inventory is referenced by folder Velvet. Folder Velvet contains an initial total of 58 cubes and notes that 9 were taken.,How many green cubes are now in Priya's inventory?,How many black cubes are now in Priya's inventory?,subtract,58,9,49,35,black,green,Denim,Velvet,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_06_ans1_role1_order1,decrease,v21_dec_cube_folder,B_to_relevant,1,transformed_block_first,Priya's green cube inventory is referenced by folder Velvet. Folder Velvet contains an initial total of 58 cubes and notes that 9 were taken. Priya's black cube inventory is referenced by folder Denim. Folder Denim contains a current total of 35 cubes.,How many green cubes are now in Priya's inventory?,How many black cubes are now in Priya's inventory?,subtract,58,9,49,35,black,green,Denim,Velvet,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_07_ans0_role0_order0,decrease,v21_dec_bottle_catalog,A_to_relevant,0,direct_block_first,The catalog maps Rowan's green bottles to listing Quartz. Listing Quartz gives the current stock as 47 bottles. The catalog maps Rowan's black bottles to listing Russet. Listing Russet gives a prior stock of 48 bottles and says 9 were recycled.,What is the current stock of black bottles for Rowan?,What is the current stock of green bottles for Rowan?,subtract,48,9,39,47,green,black,Quartz,Russet,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_07_ans0_role0_order1,decrease,v21_dec_bottle_catalog,A_to_relevant,0,transformed_block_first,The catalog maps Rowan's black bottles to listing Russet. Listing Russet gives a prior stock of 48 bottles and says 9 were recycled. The catalog maps Rowan's green bottles to listing Quartz. Listing Quartz gives the current stock as 47 bottles.,What is the current stock of black bottles for Rowan?,What is the current stock of green bottles for Rowan?,subtract,48,9,39,47,green,black,Quartz,Russet,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
