pair_id,lexical_family,template_family_id,answer_orientation,label_orientation,sentence_order,fact_math_correct,identical_context_confirmed,question_target_only_change,relevant_transformation_required,irrelevant_direct_retrieval_valid,answer_copy_shortcut_absent,paired_alternatives_correct,answer_and_foil_collision_absent,natural_grammar_and_unambiguous_meaning,accepted_answers_prespecified_and_coherent,automatic_pair_checks_all_pass,reviewer_id,review_status,comments,satisfies_independent_human_gate
calv2_decrease_02_ans1_label1_order1,decrease,v2_dec_books_donated,B_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_03_ans0_label0_order0,decrease,v2_dec_coins_spent,A_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_03_ans0_label0_order1,decrease,v2_dec_coins_spent,A_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_03_ans0_label1_order0,decrease,v2_dec_coins_spent,A_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_03_ans0_label1_order1,decrease,v2_dec_coins_spent,A_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_03_ans1_label0_order0,decrease,v2_dec_coins_spent,B_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_03_ans1_label0_order1,decrease,v2_dec_coins_spent,B_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_03_ans1_label1_order0,decrease,v2_dec_coins_spent,B_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_03_ans1_label1_order1,decrease,v2_dec_coins_spent,B_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_04_ans0_label0_order0,decrease,v2_dec_balloons_popped,A_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_04_ans0_label0_order1,decrease,v2_dec_balloons_popped,A_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_04_ans0_label1_order0,decrease,v2_dec_balloons_popped,A_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_04_ans0_label1_order1,decrease,v2_dec_balloons_popped,A_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_04_ans1_label0_order0,decrease,v2_dec_balloons_popped,B_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_04_ans1_label0_order1,decrease,v2_dec_balloons_popped,B_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_04_ans1_label1_order0,decrease,v2_dec_balloons_popped,B_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_04_ans1_label1_order1,decrease,v2_dec_balloons_popped,B_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_05_ans0_label0_order0,decrease,v2_dec_cards_discarded,A_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_05_ans0_label0_order1,decrease,v2_dec_cards_discarded,A_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_05_ans0_label1_order0,decrease,v2_dec_cards_discarded,A_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_05_ans0_label1_order1,decrease,v2_dec_cards_discarded,A_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_05_ans1_label0_order0,decrease,v2_dec_cards_discarded,B_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_05_ans1_label0_order1,decrease,v2_dec_cards_discarded,B_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_05_ans1_label1_order0,decrease,v2_dec_cards_discarded,B_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_05_ans1_label1_order1,decrease,v2_dec_cards_discarded,B_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_00_ans0_label0_order0,increase,v2_inc_tiles_received,A_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_00_ans0_label0_order1,increase,v2_inc_tiles_received,A_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_00_ans0_label1_order0,increase,v2_inc_tiles_received,A_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_00_ans0_label1_order1,increase,v2_inc_tiles_received,A_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_00_ans1_label0_order0,increase,v2_inc_tiles_received,B_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_00_ans1_label0_order1,increase,v2_inc_tiles_received,B_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_00_ans1_label1_order0,increase,v2_inc_tiles_received,B_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_00_ans1_label1_order1,increase,v2_inc_tiles_received,B_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_01_ans0_label0_order0,increase,v2_inc_stamps_added,A_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_01_ans0_label0_order1,increase,v2_inc_stamps_added,A_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_01_ans0_label1_order0,increase,v2_inc_stamps_added,A_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_01_ans0_label1_order1,increase,v2_inc_stamps_added,A_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_01_ans1_label0_order0,increase,v2_inc_stamps_added,B_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_01_ans1_label0_order1,increase,v2_inc_stamps_added,B_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_01_ans1_label1_order0,increase,v2_inc_stamps_added,B_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_01_ans1_label1_order1,increase,v2_inc_stamps_added,B_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_02_ans0_label0_order0,increase,v2_inc_apples_bought,A_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_02_ans0_label0_order1,increase,v2_inc_apples_bought,A_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_02_ans0_label1_order0,increase,v2_inc_apples_bought,A_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_02_ans0_label1_order1,increase,v2_inc_apples_bought,A_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_02_ans1_label0_order0,increase,v2_inc_apples_bought,B_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_02_ans1_label0_order1,increase,v2_inc_apples_bought,B_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_02_ans1_label1_order0,increase,v2_inc_apples_bought,B_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_02_ans1_label1_order1,increase,v2_inc_apples_bought,B_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_03_ans0_label0_order0,increase,v2_inc_books_acquired,A_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_03_ans0_label0_order1,increase,v2_inc_books_acquired,A_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_03_ans0_label1_order0,increase,v2_inc_books_acquired,A_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_03_ans0_label1_order1,increase,v2_inc_books_acquired,A_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_03_ans1_label0_order0,increase,v2_inc_books_acquired,B_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_03_ans1_label0_order1,increase,v2_inc_books_acquired,B_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_03_ans1_label1_order0,increase,v2_inc_books_acquired,B_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_03_ans1_label1_order1,increase,v2_inc_books_acquired,B_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_04_ans0_label0_order0,increase,v2_inc_points_earned,A_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_04_ans0_label0_order1,increase,v2_inc_points_earned,A_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_04_ans0_label1_order0,increase,v2_inc_points_earned,A_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_04_ans0_label1_order1,increase,v2_inc_points_earned,A_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_04_ans1_label0_order0,increase,v2_inc_points_earned,B_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_04_ans1_label0_order1,increase,v2_inc_points_earned,B_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_04_ans1_label1_order0,increase,v2_inc_points_earned,B_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_04_ans1_label1_order1,increase,v2_inc_points_earned,B_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_05_ans0_label0_order0,increase,v2_inc_flowers_planted,A_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_05_ans0_label0_order1,increase,v2_inc_flowers_planted,A_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_05_ans0_label1_order0,increase,v2_inc_flowers_planted,A_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_05_ans0_label1_order1,increase,v2_inc_flowers_planted,A_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_05_ans1_label0_order0,increase,v2_inc_flowers_planted,B_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_05_ans1_label0_order1,increase,v2_inc_flowers_planted,B_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_05_ans1_label1_order0,increase,v2_inc_flowers_planted,B_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_increase_05_ans1_label1_order1,increase,v2_inc_flowers_planted,B_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_temperature_00_ans0_label0_order0,temperature,v2_temp_tank_warmed,A_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_temperature_00_ans0_label0_order1,temperature,v2_temp_tank_warmed,A_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_temperature_00_ans0_label1_order0,temperature,v2_temp_tank_warmed,A_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_temperature_00_ans0_label1_order1,temperature,v2_temp_tank_warmed,A_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_temperature_00_ans1_label0_order0,temperature,v2_temp_tank_warmed,B_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_temperature_00_ans1_label0_order1,temperature,v2_temp_tank_warmed,B_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_temperature_00_ans1_label1_order0,temperature,v2_temp_tank_warmed,B_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_temperature_00_ans1_label1_order1,temperature,v2_temp_tank_warmed,B_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_temperature_01_ans0_label0_order0,temperature,v2_temp_room_rose,A_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_temperature_01_ans0_label0_order1,temperature,v2_temp_room_rose,A_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_temperature_01_ans0_label1_order0,temperature,v2_temp_room_rose,A_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
