pair_id,lexical_family,template_family_id,answer_orientation,label_record_role_orientation,record_block_order,arithmetic_answer_correct,identical_context_and_prompt_contract,question_target_only_change,matched_keyed_retrieval_structure,relevant_transformation_required,irrelevant_direct_retrieval_valid,answer_copy_shortcut_absent,paired_alternative_orientation_correct,one_token_output_instruction_clear,automatic_pair_checks_all_pass,natural_grammar_and_unambiguous_change_direction,reviewer_id,review_status,comments,satisfies_independent_human_gate
calv211_decrease_01_ans1_role0_order1,decrease,v21_dec_token_ledger,B_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_01_ans1_role1_order0,decrease,v21_dec_token_ledger,B_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_01_ans1_role1_order1,decrease,v21_dec_token_ledger,B_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_02_ans0_role0_order0,decrease,v21_dec_pencil_file,A_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_02_ans0_role0_order1,decrease,v21_dec_pencil_file,A_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_02_ans0_role1_order0,decrease,v21_dec_pencil_file,A_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_02_ans0_role1_order1,decrease,v21_dec_pencil_file,A_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_02_ans1_role0_order0,decrease,v21_dec_pencil_file,B_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_02_ans1_role0_order1,decrease,v21_dec_pencil_file,B_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_02_ans1_role1_order0,decrease,v21_dec_pencil_file,B_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_02_ans1_role1_order1,decrease,v21_dec_pencil_file,B_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_03_ans0_role0_order0,decrease,v21_dec_shell_register,A_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_03_ans0_role0_order1,decrease,v21_dec_shell_register,A_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_03_ans0_role1_order0,decrease,v21_dec_shell_register,A_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_03_ans0_role1_order1,decrease,v21_dec_shell_register,A_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_03_ans1_role0_order0,decrease,v21_dec_shell_register,B_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_03_ans1_role0_order1,decrease,v21_dec_shell_register,B_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_03_ans1_role1_order0,decrease,v21_dec_shell_register,B_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_03_ans1_role1_order1,decrease,v21_dec_shell_register,B_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_04_ans0_role0_order0,decrease,v21_dec_badge_index,A_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_04_ans0_role0_order1,decrease,v21_dec_badge_index,A_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_04_ans0_role1_order0,decrease,v21_dec_badge_index,A_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_04_ans0_role1_order1,decrease,v21_dec_badge_index,A_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_04_ans1_role0_order0,decrease,v21_dec_badge_index,B_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_04_ans1_role0_order1,decrease,v21_dec_badge_index,B_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_04_ans1_role1_order0,decrease,v21_dec_badge_index,B_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_04_ans1_role1_order1,decrease,v21_dec_badge_index,B_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_05_ans0_role0_order0,decrease,v21_dec_ticket_account,A_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_05_ans0_role0_order1,decrease,v21_dec_ticket_account,A_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_05_ans0_role1_order0,decrease,v21_dec_ticket_account,A_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_05_ans0_role1_order1,decrease,v21_dec_ticket_account,A_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_05_ans1_role0_order0,decrease,v21_dec_ticket_account,B_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_05_ans1_role0_order1,decrease,v21_dec_ticket_account,B_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_05_ans1_role1_order0,decrease,v21_dec_ticket_account,B_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_05_ans1_role1_order1,decrease,v21_dec_ticket_account,B_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_06_ans0_role0_order0,decrease,v21_dec_cube_folder,A_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_06_ans0_role0_order1,decrease,v21_dec_cube_folder,A_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_06_ans0_role1_order0,decrease,v21_dec_cube_folder,A_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_06_ans0_role1_order1,decrease,v21_dec_cube_folder,A_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_06_ans1_role0_order0,decrease,v21_dec_cube_folder,B_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_06_ans1_role0_order1,decrease,v21_dec_cube_folder,B_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_06_ans1_role1_order0,decrease,v21_dec_cube_folder,B_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_06_ans1_role1_order1,decrease,v21_dec_cube_folder,B_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_07_ans0_role0_order0,decrease,v21_dec_bottle_catalog,A_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_07_ans0_role0_order1,decrease,v21_dec_bottle_catalog,A_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_07_ans0_role1_order0,decrease,v21_dec_bottle_catalog,A_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_07_ans0_role1_order1,decrease,v21_dec_bottle_catalog,A_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_07_ans1_role0_order0,decrease,v21_dec_bottle_catalog,B_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_07_ans1_role0_order1,decrease,v21_dec_bottle_catalog,B_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_07_ans1_role1_order0,decrease,v21_dec_bottle_catalog,B_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_07_ans1_role1_order1,decrease,v21_dec_bottle_catalog,B_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_00_ans0_role0_order0,increase,v21_inc_clip_archive,A_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_00_ans0_role0_order1,increase,v21_inc_clip_archive,A_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_00_ans0_role1_order0,increase,v21_inc_clip_archive,A_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_00_ans0_role1_order1,increase,v21_inc_clip_archive,A_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_00_ans1_role0_order0,increase,v21_inc_clip_archive,B_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_00_ans1_role0_order1,increase,v21_inc_clip_archive,B_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_00_ans1_role1_order0,increase,v21_inc_clip_archive,B_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_00_ans1_role1_order1,increase,v21_inc_clip_archive,B_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_01_ans0_role0_order0,increase,v21_inc_ribbon_ledger,A_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_01_ans0_role0_order1,increase,v21_inc_ribbon_ledger,A_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_01_ans0_role1_order0,increase,v21_inc_ribbon_ledger,A_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_01_ans0_role1_order1,increase,v21_inc_ribbon_ledger,A_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_01_ans1_role0_order0,increase,v21_inc_ribbon_ledger,B_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_01_ans1_role0_order1,increase,v21_inc_ribbon_ledger,B_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_01_ans1_role1_order0,increase,v21_inc_ribbon_ledger,B_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_01_ans1_role1_order1,increase,v21_inc_ribbon_ledger,B_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_02_ans0_role0_order0,increase,v21_inc_notebook_file,A_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_02_ans0_role0_order1,increase,v21_inc_notebook_file,A_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_02_ans0_role1_order0,increase,v21_inc_notebook_file,A_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_02_ans0_role1_order1,increase,v21_inc_notebook_file,A_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_02_ans1_role0_order0,increase,v21_inc_notebook_file,B_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_02_ans1_role0_order1,increase,v21_inc_notebook_file,B_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_02_ans1_role1_order0,increase,v21_inc_notebook_file,B_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_02_ans1_role1_order1,increase,v21_inc_notebook_file,B_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_03_ans0_role0_order0,increase,v21_inc_pebble_register,A_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_03_ans0_role0_order1,increase,v21_inc_pebble_register,A_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_03_ans0_role1_order0,increase,v21_inc_pebble_register,A_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_03_ans0_role1_order1,increase,v21_inc_pebble_register,A_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_03_ans1_role0_order0,increase,v21_inc_pebble_register,B_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_03_ans1_role0_order1,increase,v21_inc_pebble_register,B_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_03_ans1_role1_order0,increase,v21_inc_pebble_register,B_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_03_ans1_role1_order1,increase,v21_inc_pebble_register,B_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_04_ans0_role0_order0,increase,v21_inc_coupon_index,A_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_04_ans0_role0_order1,increase,v21_inc_coupon_index,A_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_04_ans0_role1_order0,increase,v21_inc_coupon_index,A_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_04_ans0_role1_order1,increase,v21_inc_coupon_index,A_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_04_ans1_role0_order0,increase,v21_inc_coupon_index,B_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_04_ans1_role0_order1,increase,v21_inc_coupon_index,B_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_04_ans1_role1_order0,increase,v21_inc_coupon_index,B_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_04_ans1_role1_order1,increase,v21_inc_coupon_index,B_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_increase_05_ans0_role0_order0,increase,v21_inc_marker_account,A_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
