pair_id,lexical_family,template_family_id,counterbalance_frame_id,item_instantiation_index,context,relevant_question,irrelevant_question,canonical_answer,prespecified_foils,prompt_token_count_relevant,prompt_token_count_irrelevant,auto_checks_pass,fact_math_correct,identical_context_confirmed,single_feature_change_confirmed,natural_grammar,relevance_labels_correct,answer_exposure_equal,reviewer_id,review_status,comments
cal_decrease_01_01_00,decrease,dec_stickers_lost,colors_a_reverse,0,Maya owns 10 blue stickers. Maya started with 12 red stickers but lost 2 red stickers.,How many red stickers does Maya own now?,How many blue stickers does Maya own now?,10,12|2|14,36,36,True,,,,,,,,PENDING,
cal_decrease_01_01_01,decrease,dec_stickers_lost,colors_a_reverse,1,Noah owns 10 blue stickers. Noah started with 13 red stickers but lost 3 red stickers.,How many red stickers does Noah own now?,How many blue stickers does Noah own now?,10,13|3|16,36,36,True,,,,,,,,PENDING,
cal_decrease_01_02_00,decrease,dec_stickers_lost,colors_b_forward,0,Lena owns 9 green stickers. Lena started with 14 black stickers but lost 5 black stickers.,How many black stickers does Lena own now?,How many green stickers does Lena own now?,9,14|5|19,36,36,True,,,,,,,,PENDING,
cal_decrease_01_02_01,decrease,dec_stickers_lost,colors_b_forward,1,Evan owns 13 green stickers. Evan started with 15 black stickers but lost 2 black stickers.,How many black stickers does Evan own now?,How many green stickers does Evan own now?,13,15|2|17,36,36,True,,,,,,,,PENDING,
cal_decrease_01_03_00,decrease,dec_stickers_lost,colors_b_reverse,0,Lena owns 9 black stickers. Lena started with 14 green stickers but lost 5 green stickers.,How many green stickers does Lena own now?,How many black stickers does Lena own now?,9,14|5|19,36,36,True,,,,,,,,PENDING,
cal_decrease_01_03_01,decrease,dec_stickers_lost,colors_b_reverse,1,Evan owns 13 black stickers. Evan started with 15 green stickers but lost 2 green stickers.,How many green stickers does Evan own now?,How many black stickers does Evan own now?,13,15|2|17,36,36,True,,,,,,,,PENDING,
cal_decrease_02_00_00,decrease,dec_books_donated,colors_a_forward,0,Iris keeps 12 red books. Iris had 16 blue books and donated 4 blue books.,How many blue books does Iris have now?,How many red books does Iris have now?,12,16|4|20,35,35,True,,,,,,,,PENDING,
cal_decrease_02_00_01,decrease,dec_books_donated,colors_a_forward,1,Milo keeps 2 red books. Milo had 8 blue books and donated 6 blue books.,How many blue books does Milo have now?,How many red books does Milo have now?,2,8|6|14,35,35,True,,,,,,,,PENDING,
cal_decrease_02_01_00,decrease,dec_books_donated,colors_a_reverse,0,Iris keeps 12 blue books. Iris had 16 red books and donated 4 red books.,How many red books does Iris have now?,How many blue books does Iris have now?,12,16|4|20,35,35,True,,,,,,,,PENDING,
cal_decrease_02_01_01,decrease,dec_books_donated,colors_a_reverse,1,Milo keeps 2 blue books. Milo had 8 red books and donated 6 red books.,How many red books does Milo have now?,How many blue books does Milo have now?,2,8|6|14,35,35,True,,,,,,,,PENDING,
cal_decrease_02_02_00,decrease,dec_books_donated,colors_b_forward,0,Sara keeps 6 green books. Sara had 9 black books and donated 3 black books.,How many black books does Sara have now?,How many green books does Sara have now?,6,9|3|12,35,35,True,,,,,,,,PENDING,
cal_decrease_02_02_01,decrease,dec_books_donated,colors_b_forward,1,Theo keeps 4 green books. Theo had 10 black books and donated 6 black books.,How many black books does Theo have now?,How many green books does Theo have now?,4,10|6|16,35,35,True,,,,,,,,PENDING,
cal_decrease_02_03_00,decrease,dec_books_donated,colors_b_reverse,0,Sara keeps 6 black books. Sara had 9 green books and donated 3 green books.,How many green books does Sara have now?,How many black books does Sara have now?,6,9|3|12,35,35,True,,,,,,,,PENDING,
cal_decrease_02_03_01,decrease,dec_books_donated,colors_b_reverse,1,Theo keeps 4 black books. Theo had 10 green books and donated 6 green books.,How many green books does Theo have now?,How many black books does Theo have now?,4,10|6|16,35,35,True,,,,,,,,PENDING,
cal_decrease_03_00_00,decrease,dec_coins_spent,colors_a_forward,0,Ava holds 9 red coins. Ava began with 11 blue coins and spent 2 blue coins.,How many blue coins does Ava hold now?,How many red coins does Ava hold now?,9,11|2|13,36,36,True,,,,,,,,PENDING,
cal_decrease_03_00_01,decrease,dec_coins_spent,colors_a_forward,1,Liam holds 8 red coins. Liam began with 12 blue coins and spent 4 blue coins.,How many blue coins does Liam hold now?,How many red coins does Liam hold now?,8,12|4|16,36,36,True,,,,,,,,PENDING,
cal_decrease_03_01_00,decrease,dec_coins_spent,colors_a_reverse,0,Ava holds 9 blue coins. Ava began with 11 red coins and spent 2 red coins.,How many red coins does Ava hold now?,How many blue coins does Ava hold now?,9,11|2|13,36,36,True,,,,,,,,PENDING,
cal_decrease_03_01_01,decrease,dec_coins_spent,colors_a_reverse,1,Liam holds 8 blue coins. Liam began with 12 red coins and spent 4 red coins.,How many red coins does Liam hold now?,How many blue coins does Liam hold now?,8,12|4|16,36,36,True,,,,,,,,PENDING,
cal_decrease_03_02_00,decrease,dec_coins_spent,colors_b_forward,0,Nora holds 7 green coins. Nora began with 13 black coins and spent 6 black coins.,How many black coins does Nora hold now?,How many green coins does Nora hold now?,7,13|6|19,36,36,True,,,,,,,,PENDING,
cal_decrease_03_02_01,decrease,dec_coins_spent,colors_b_forward,1,Owen holds 11 green coins. Owen began with 14 black coins and spent 3 black coins.,How many black coins does Owen hold now?,How many green coins does Owen hold now?,11,14|3|17,36,36,True,,,,,,,,PENDING,
cal_decrease_03_03_00,decrease,dec_coins_spent,colors_b_reverse,0,Nora holds 7 black coins. Nora began with 13 green coins and spent 6 green coins.,How many green coins does Nora hold now?,How many black coins does Nora hold now?,7,13|6|19,36,36,True,,,,,,,,PENDING,
cal_decrease_03_03_01,decrease,dec_coins_spent,colors_b_reverse,1,Owen holds 11 black coins. Owen began with 14 green coins and spent 3 green coins.,How many green coins does Owen hold now?,How many black coins does Owen hold now?,11,14|3|17,36,36,True,,,,,,,,PENDING,
cal_decrease_04_00_00,decrease,dec_balloons_popped,colors_a_forward,0,Maya has 10 red balloons remaining. Maya had 15 blue balloons before 5 blue balloons popped.,How many blue balloons remain for Maya?,How many red balloons remain for Maya?,10,15|5|20,35,35,True,,,,,,,,PENDING,
cal_decrease_04_00_01,decrease,dec_balloons_popped,colors_a_forward,1,Noah has 14 red balloons remaining. Noah had 16 blue balloons before 2 blue balloons popped.,How many blue balloons remain for Noah?,How many red balloons remain for Noah?,14,16|2|18,35,35,True,,,,,,,,PENDING,
cal_decrease_04_01_00,decrease,dec_balloons_popped,colors_a_reverse,0,Maya has 10 blue balloons remaining. Maya had 15 red balloons before 5 red balloons popped.,How many red balloons remain for Maya?,How many blue balloons remain for Maya?,10,15|5|20,35,35,True,,,,,,,,PENDING,
cal_decrease_04_01_01,decrease,dec_balloons_popped,colors_a_reverse,1,Noah has 14 blue balloons remaining. Noah had 16 red balloons before 2 red balloons popped.,How many red balloons remain for Noah?,How many blue balloons remain for Noah?,14,16|2|18,35,35,True,,,,,,,,PENDING,
cal_decrease_04_02_00,decrease,dec_balloons_popped,colors_b_forward,0,Lena has 3 green balloons remaining. Lena had 8 black balloons before 5 black balloons popped.,How many black balloons remain for Lena?,How many green balloons remain for Lena?,3,8|5|13,35,35,True,,,,,,,,PENDING,
cal_decrease_04_02_01,decrease,dec_balloons_popped,colors_b_forward,1,Evan has 3 green balloons remaining. Evan had 9 black balloons before 6 black balloons popped.,How many black balloons remain for Evan?,How many green balloons remain for Evan?,3,9|6|15,35,35,True,,,,,,,,PENDING,
cal_decrease_04_03_00,decrease,dec_balloons_popped,colors_b_reverse,0,Lena has 3 black balloons remaining. Lena had 8 green balloons before 5 green balloons popped.,How many green balloons remain for Lena?,How many black balloons remain for Lena?,3,8|5|13,35,35,True,,,,,,,,PENDING,
cal_decrease_04_03_01,decrease,dec_balloons_popped,colors_b_reverse,1,Evan has 3 black balloons remaining. Evan had 9 green balloons before 6 green balloons popped.,How many green balloons remain for Evan?,How many black balloons remain for Evan?,3,9|6|15,35,35,True,,,,,,,,PENDING,
cal_decrease_05_00_00,decrease,dec_cards_discarded,colors_a_forward,0,Iris owns 7 red cards now. Iris had 10 blue cards and discarded 3 blue cards.,How many blue cards does Iris own now?,How many red cards does Iris own now?,7,10|3|13,36,36,True,,,,,,,,PENDING,
cal_decrease_05_00_01,decrease,dec_cards_discarded,colors_a_forward,1,Milo owns 6 red cards now. Milo had 11 blue cards and discarded 5 blue cards.,How many blue cards does Milo own now?,How many red cards does Milo own now?,6,11|5|16,36,36,True,,,,,,,,PENDING,
cal_decrease_05_01_00,decrease,dec_cards_discarded,colors_a_reverse,0,Iris owns 7 blue cards now. Iris had 10 red cards and discarded 3 red cards.,How many red cards does Iris own now?,How many blue cards does Iris own now?,7,10|3|13,36,36,True,,,,,,,,PENDING,
cal_decrease_05_01_01,decrease,dec_cards_discarded,colors_a_reverse,1,Milo owns 6 blue cards now. Milo had 11 red cards and discarded 5 red cards.,How many red cards does Milo own now?,How many blue cards does Milo own now?,6,11|5|16,36,36,True,,,,,,,,PENDING,
cal_decrease_05_02_00,decrease,dec_cards_discarded,colors_b_forward,0,Sara owns 10 green cards now. Sara had 12 black cards and discarded 2 black cards.,How many black cards does Sara own now?,How many green cards does Sara own now?,10,12|2|14,36,36,True,,,,,,,,PENDING,
cal_decrease_05_02_01,decrease,dec_cards_discarded,colors_b_forward,1,Theo owns 9 green cards now. Theo had 13 black cards and discarded 4 black cards.,How many black cards does Theo own now?,How many green cards does Theo own now?,9,13|4|17,36,36,True,,,,,,,,PENDING,
cal_decrease_05_03_00,decrease,dec_cards_discarded,colors_b_reverse,0,Sara owns 10 black cards now. Sara had 12 green cards and discarded 2 green cards.,How many green cards does Sara own now?,How many black cards does Sara own now?,10,12|2|14,36,36,True,,,,,,,,PENDING,
cal_decrease_05_03_01,decrease,dec_cards_discarded,colors_b_reverse,1,Theo owns 9 black cards now. Theo had 13 green cards and discarded 4 green cards.,How many green cards does Theo own now?,How many black cards does Theo own now?,9,13|4|17,36,36,True,,,,,,,,PENDING,
cal_increase_00_00_00,increase,inc_tiles_received,colors_a_forward,0,Ava has 6 red tiles. Ava had 3 blue tiles and received 3 more blue tiles.,How many blue tiles does Ava have now?,How many red tiles does Ava have now?,6,3|0,36,36,True,,,,,,,,PENDING,
cal_increase_00_00_01,increase,inc_tiles_received,colors_a_forward,1,Liam has 10 red tiles. Liam had 4 blue tiles and received 6 more blue tiles.,How many blue tiles does Liam have now?,How many red tiles does Liam have now?,10,4|6,36,36,True,,,,,,,,PENDING,
cal_increase_00_01_00,increase,inc_tiles_received,colors_a_reverse,0,Ava has 6 blue tiles. Ava had 3 red tiles and received 3 more red tiles.,How many red tiles does Ava have now?,How many blue tiles does Ava have now?,6,3|0,36,36,True,,,,,,,,PENDING,
cal_increase_00_01_01,increase,inc_tiles_received,colors_a_reverse,1,Liam has 10 blue tiles. Liam had 4 red tiles and received 6 more red tiles.,How many red tiles does Liam have now?,How many blue tiles does Liam have now?,10,4|6,36,36,True,,,,,,,,PENDING,
cal_increase_00_02_00,increase,inc_tiles_received,colors_b_forward,0,Nora has 9 green tiles. Nora had 5 black tiles and received 4 more black tiles.,How many black tiles does Nora have now?,How many green tiles does Nora have now?,9,5|4|1,36,36,True,,,,,,,,PENDING,
cal_increase_00_02_01,increase,inc_tiles_received,colors_b_forward,1,Owen has 8 green tiles. Owen had 6 black tiles and received 2 more black tiles.,How many black tiles does Owen have now?,How many green tiles does Owen have now?,8,6|2|4,36,36,True,,,,,,,,PENDING,
cal_increase_00_03_00,increase,inc_tiles_received,colors_b_reverse,0,Nora has 9 black tiles. Nora had 5 green tiles and received 4 more green tiles.,How many green tiles does Nora have now?,How many black tiles does Nora have now?,9,5|4|1,36,36,True,,,,,,,,PENDING,
cal_increase_00_03_01,increase,inc_tiles_received,colors_b_reverse,1,Owen has 8 black tiles. Owen had 6 green tiles and received 2 more green tiles.,How many green tiles does Owen have now?,How many black tiles does Owen have now?,8,6|2|4,36,36,True,,,,,,,,PENDING,
cal_increase_01_00_00,increase,inc_stamps_added,colors_a_forward,0,Maya owns 12 red stamps. Maya started with 7 blue stamps and added 5 blue stamps.,How many blue stamps does Maya own now?,How many red stamps does Maya own now?,12,7|5|2,36,36,True,,,,,,,,PENDING,
cal_increase_01_00_01,increase,inc_stamps_added,colors_a_forward,1,Noah owns 11 red stamps. Noah started with 8 blue stamps and added 3 blue stamps.,How many blue stamps does Noah own now?,How many red stamps does Noah own now?,11,8|3|5,36,36,True,,,,,,,,PENDING,
cal_increase_01_01_00,increase,inc_stamps_added,colors_a_reverse,0,Maya owns 12 blue stamps. Maya started with 7 red stamps and added 5 red stamps.,How many red stamps does Maya own now?,How many blue stamps does Maya own now?,12,7|5|2,36,36,True,,,,,,,,PENDING,
cal_increase_01_01_01,increase,inc_stamps_added,colors_a_reverse,1,Noah owns 11 blue stamps. Noah started with 8 red stamps and added 3 red stamps.,How many red stamps does Noah own now?,How many blue stamps does Noah own now?,11,8|3|5,36,36,True,,,,,,,,PENDING,
cal_increase_01_02_00,increase,inc_stamps_added,colors_b_forward,0,Lena owns 15 green stamps. Lena started with 9 black stamps and added 6 black stamps.,How many black stamps does Lena own now?,How many green stamps does Lena own now?,15,9|6|3,36,36,True,,,,,,,,PENDING,
cal_increase_01_02_01,increase,inc_stamps_added,colors_b_forward,1,Evan owns 14 green stamps. Evan started with 10 black stamps and added 4 black stamps.,How many black stamps does Evan own now?,How many green stamps does Evan own now?,14,10|4|6,36,36,True,,,,,,,,PENDING,
cal_increase_01_03_00,increase,inc_stamps_added,colors_b_reverse,0,Lena owns 15 black stamps. Lena started with 9 green stamps and added 6 green stamps.,How many green stamps does Lena own now?,How many black stamps does Lena own now?,15,9|6|3,36,36,True,,,,,,,,PENDING,
cal_increase_01_03_01,increase,inc_stamps_added,colors_b_reverse,1,Evan owns 14 black stamps. Evan started with 10 green stamps and added 4 green stamps.,How many green stamps does Evan own now?,How many black stamps does Evan own now?,14,10|4|6,36,36,True,,,,,,,,PENDING,
cal_increase_02_00_00,increase,inc_apples_bought,colors_a_forward,0,Iris has 13 red apples. Iris had 11 blue apples and bought 2 additional blue apples.,How many blue apples does Iris have now?,How many red apples does Iris have now?,13,11|2|9,36,36,True,,,,,,,,PENDING,
cal_increase_02_00_01,increase,inc_apples_bought,colors_a_forward,1,Milo has 8 red apples. Milo had 3 blue apples and bought 5 additional blue apples.,How many blue apples does Milo have now?,How many red apples does Milo have now?,8,3|5,36,36,True,,,,,,,,PENDING,
cal_increase_02_01_00,increase,inc_apples_bought,colors_a_reverse,0,Iris has 13 blue apples. Iris had 11 red apples and bought 2 additional red apples.,How many red apples does Iris have now?,How many blue apples does Iris have now?,13,11|2|9,36,36,True,,,,,,,,PENDING,
cal_increase_02_01_01,increase,inc_apples_bought,colors_a_reverse,1,Milo has 8 blue apples. Milo had 3 red apples and bought 5 additional red apples.,How many red apples does Milo have now?,How many blue apples does Milo have now?,8,3|5,36,36,True,,,,,,,,PENDING,
cal_increase_02_02_00,increase,inc_apples_bought,colors_b_forward,0,Sara has 7 green apples. Sara had 4 black apples and bought 3 additional black apples.,How many black apples does Sara have now?,How many green apples does Sara have now?,7,4|3|1,36,36,True,,,,,,,,PENDING,
cal_increase_02_02_01,increase,inc_apples_bought,colors_b_forward,1,Theo has 11 green apples. Theo had 5 black apples and bought 6 additional black apples.,How many black apples does Theo have now?,How many green apples does Theo have now?,11,5|6,36,36,True,,,,,,,,PENDING,
cal_increase_02_03_00,increase,inc_apples_bought,colors_b_reverse,0,Sara has 7 black apples. Sara had 4 green apples and bought 3 additional green apples.,How many green apples does Sara have now?,How many black apples does Sara have now?,7,4|3|1,36,36,True,,,,,,,,PENDING,
cal_increase_02_03_01,increase,inc_apples_bought,colors_b_reverse,1,Theo has 11 black apples. Theo had 5 green apples and bought 6 additional green apples.,How many green apples does Theo have now?,How many black apples does Theo have now?,11,5|6,36,36,True,,,,,,,,PENDING,
cal_increase_03_00_00,increase,inc_books_acquired,colors_a_forward,0,Ava keeps 10 red books. Ava began with 6 blue books and acquired 4 more blue books.,How many blue books does Ava have now?,How many red books does Ava have now?,10,6|4|2,37,37,True,,,,,,,,PENDING,
cal_increase_03_00_01,increase,inc_books_acquired,colors_a_forward,1,Liam keeps 9 red books. Liam began with 7 blue books and acquired 2 more blue books.,How many blue books does Liam have now?,How many red books does Liam have now?,9,7|2|5,37,37,True,,,,,,,,PENDING,
cal_increase_03_01_00,increase,inc_books_acquired,colors_a_reverse,0,Ava keeps 10 blue books. Ava began with 6 red books and acquired 4 more red books.,How many red books does Ava have now?,How many blue books does Ava have now?,10,6|4|2,37,37,True,,,,,,,,PENDING,
cal_increase_03_01_01,increase,inc_books_acquired,colors_a_reverse,1,Liam keeps 9 blue books. Liam began with 7 red books and acquired 2 more red books.,How many red books does Liam have now?,How many blue books does Liam have now?,9,7|2|5,37,37,True,,,,,,,,PENDING,
cal_increase_03_02_00,increase,inc_books_acquired,colors_b_forward,0,Nora keeps 13 green books. Nora began with 8 black books and acquired 5 more black books.,How many black books does Nora have now?,How many green books does Nora have now?,13,8|5|3,37,37,True,,,,,,,,PENDING,
cal_increase_03_02_01,increase,inc_books_acquired,colors_b_forward,1,Owen keeps 12 green books. Owen began with 9 black books and acquired 3 more black books.,How many black books does Owen have now?,How many green books does Owen have now?,12,9|3|6,37,37,True,,,,,,,,PENDING,
cal_increase_03_03_00,increase,inc_books_acquired,colors_b_reverse,0,Nora keeps 13 black books. Nora began with 8 green books and acquired 5 more green books.,How many green books does Nora have now?,How many black books does Nora have now?,13,8|5|3,37,37,True,,,,,,,,PENDING,
cal_increase_03_03_01,increase,inc_books_acquired,colors_b_reverse,1,Owen keeps 12 black books. Owen began with 9 green books and acquired 3 more green books.,How many green books does Owen have now?,How many black books does Owen have now?,12,9|3|6,37,37,True,,,,,,,,PENDING,
cal_increase_04_00_00,increase,inc_points_earned,colors_a_forward,0,Maya has 16 red points. Maya had 10 blue points and earned 6 more blue points.,How many blue points does Maya have now?,How many red points does Maya have now?,16,10|6|4,36,36,True,,,,,,,,PENDING,
cal_increase_04_00_01,increase,inc_points_earned,colors_a_forward,1,Noah has 15 red points. Noah had 11 blue points and earned 4 more blue points.,How many blue points does Noah have now?,How many red points does Noah have now?,15,11|4|7,36,36,True,,,,,,,,PENDING,
cal_increase_04_01_00,increase,inc_points_earned,colors_a_reverse,0,Maya has 16 blue points. Maya had 10 red points and earned 6 more red points.,How many red points does Maya have now?,How many blue points does Maya have now?,16,10|6|4,36,36,True,,,,,,,,PENDING,
cal_increase_04_01_01,increase,inc_points_earned,colors_a_reverse,1,Noah has 15 blue points. Noah had 11 red points and earned 4 more red points.,How many red points does Noah have now?,How many blue points does Noah have now?,15,11|4|7,36,36,True,,,,,,,,PENDING,
cal_increase_04_02_00,increase,inc_points_earned,colors_b_forward,0,Lena has 5 green points. Lena had 3 black points and earned 2 more black points.,How many black points does Lena have now?,How many green points does Lena have now?,5,3|2|1,36,36,True,,,,,,,,PENDING,
cal_increase_04_02_01,increase,inc_points_earned,colors_b_forward,1,Evan has 9 green points. Evan had 4 black points and earned 5 more black points.,How many black points does Evan have now?,How many green points does Evan have now?,9,4|5,36,36,True,,,,,,,,PENDING,
cal_increase_04_03_00,increase,inc_points_earned,colors_b_reverse,0,Lena has 5 black points. Lena had 3 green points and earned 2 more green points.,How many green points does Lena have now?,How many black points does Lena have now?,5,3|2|1,36,36,True,,,,,,,,PENDING,
cal_increase_04_03_01,increase,inc_points_earned,colors_b_reverse,1,Evan has 9 black points. Evan had 4 green points and earned 5 more green points.,How many green points does Evan have now?,How many black points does Evan have now?,9,4|5,36,36,True,,,,,,,,PENDING,
cal_increase_05_00_00,increase,inc_flowers_planted,colors_a_forward,0,Iris has 8 red flowers growing. Iris had 5 blue flowers and planted 3 more blue flowers.,How many blue flowers does Iris have now?,How many red flowers does Iris have now?,8,5|3|2,37,37,True,,,,,,,,PENDING,
cal_increase_05_00_01,increase,inc_flowers_planted,colors_a_forward,1,Milo has 12 red flowers growing. Milo had 6 blue flowers and planted 6 more blue flowers.,How many blue flowers does Milo have now?,How many red flowers does Milo have now?,12,6|0,37,37,True,,,,,,,,PENDING,
cal_increase_05_01_00,increase,inc_flowers_planted,colors_a_reverse,0,Iris has 8 blue flowers growing. Iris had 5 red flowers and planted 3 more red flowers.,How many red flowers does Iris have now?,How many blue flowers does Iris have now?,8,5|3|2,37,37,True,,,,,,,,PENDING,
cal_increase_05_01_01,increase,inc_flowers_planted,colors_a_reverse,1,Milo has 12 blue flowers growing. Milo had 6 red flowers and planted 6 more red flowers.,How many red flowers does Milo have now?,How many blue flowers does Milo have now?,12,6|0,37,37,True,,,,,,,,PENDING,
cal_increase_05_02_00,increase,inc_flowers_planted,colors_b_forward,0,Sara has 11 green flowers growing. Sara had 7 black flowers and planted 4 more black flowers.,How many black flowers does Sara have now?,How many green flowers does Sara have now?,11,7|4|3,37,37,True,,,,,,,,PENDING,
cal_increase_05_02_01,increase,inc_flowers_planted,colors_b_forward,1,Theo has 10 green flowers growing. Theo had 8 black flowers and planted 2 more black flowers.,How many black flowers does Theo have now?,How many green flowers does Theo have now?,10,8|2|6,37,37,True,,,,,,,,PENDING,
cal_increase_05_03_00,increase,inc_flowers_planted,colors_b_reverse,0,Sara has 11 black flowers growing. Sara had 7 green flowers and planted 4 more green flowers.,How many green flowers does Sara have now?,How many black flowers does Sara have now?,11,7|4|3,37,37,True,,,,,,,,PENDING,
cal_increase_05_03_01,increase,inc_flowers_planted,colors_b_reverse,1,Theo has 10 black flowers growing. Theo had 8 green flowers and planted 2 more green flowers.,How many green flowers does Theo have now?,How many black flowers does Theo have now?,10,8|2|6,37,37,True,,,,,,,,PENDING,
cal_temperature_00_00_00,temperature,temp_tank_warmed,colors_a_forward,0,The red tank is at 16 degrees. The blue tank was at 12 degrees and warmed by 4 degrees.,What is the blue tank's temperature now?,What is the red tank's temperature now?,16,12|4|8,39,39,True,,,,,,,,PENDING,
cal_temperature_00_00_01,temperature,temp_tank_warmed,colors_a_forward,1,The red tank is at 20 degrees. The blue tank was at 13 degrees and warmed by 7 degrees.,What is the blue tank's temperature now?,What is the red tank's temperature now?,20,13|7|6,39,39,True,,,,,,,,PENDING,
cal_temperature_00_01_00,temperature,temp_tank_warmed,colors_a_reverse,0,The blue tank is at 16 degrees. The red tank was at 12 degrees and warmed by 4 degrees.,What is the red tank's temperature now?,What is the blue tank's temperature now?,16,12|4|8,39,39,True,,,,,,,,PENDING,
cal_temperature_00_01_01,temperature,temp_tank_warmed,colors_a_reverse,1,The blue tank is at 20 degrees. The red tank was at 13 degrees and warmed by 7 degrees.,What is the red tank's temperature now?,What is the blue tank's temperature now?,20,13|7|6,39,39,True,,,,,,,,PENDING,
cal_temperature_00_02_00,temperature,temp_tank_warmed,colors_b_forward,0,The green tank is at 18 degrees. The black tank was at 14 degrees and warmed by 4 degrees.,What is the black tank's temperature now?,What is the green tank's temperature now?,18,14|4|10,39,39,True,,,,,,,,PENDING,
cal_temperature_00_02_01,temperature,temp_tank_warmed,colors_b_forward,1,The green tank is at 22 degrees. The black tank was at 15 degrees and warmed by 7 degrees.,What is the black tank's temperature now?,What is the green tank's temperature now?,22,15|7|8,39,39,True,,,,,,,,PENDING,
cal_temperature_00_03_00,temperature,temp_tank_warmed,colors_b_reverse,0,The black tank is at 18 degrees. The green tank was at 14 degrees and warmed by 4 degrees.,What is the green tank's temperature now?,What is the black tank's temperature now?,18,14|4|10,39,39,True,,,,,,,,PENDING,
cal_temperature_00_03_01,temperature,temp_tank_warmed,colors_b_reverse,1,The black tank is at 22 degrees. The green tank was at 15 degrees and warmed by 7 degrees.,What is the green tank's temperature now?,What is the black tank's temperature now?,22,15|7|8,39,39,True,,,,,,,,PENDING,
cal_temperature_01_00_00,temperature,temp_room_rose,colors_a_forward,0,The red room is 20 degrees. The blue room was 16 degrees before its temperature rose by 4 degrees.,What is the blue room's temperature now?,What is the red room's temperature now?,20,16|4|12,39,39,True,,,,,,,,PENDING,
cal_temperature_01_00_01,temperature,temp_room_rose,colors_a_forward,1,The red room is 24 degrees. The blue room was 17 degrees before its temperature rose by 7 degrees.,What is the blue room's temperature now?,What is the red room's temperature now?,24,17|7|10,39,39,True,,,,,,,,PENDING,
cal_temperature_01_01_00,temperature,temp_room_rose,colors_a_reverse,0,The blue room is 20 degrees. The red room was 16 degrees before its temperature rose by 4 degrees.,What is the red room's temperature now?,What is the blue room's temperature now?,20,16|4|12,39,39,True,,,,,,,,PENDING,
cal_temperature_01_01_01,temperature,temp_room_rose,colors_a_reverse,1,The blue room is 24 degrees. The red room was 17 degrees before its temperature rose by 7 degrees.,What is the red room's temperature now?,What is the blue room's temperature now?,24,17|7|10,39,39,True,,,,,,,,PENDING,
